producer_id,field_id,year,Core #,SHAC #,Depth (cm),lon,lat,soc,bd,soc_tha,tot_P,pH,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6181,KS20-0059,30 - 50,,,0.81999999999999995,1.5960415743658549,39.890824693070428,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6181,KS20-0060,50 - 100,,,0.41999999999999998,1.5461980275155967,19.793808669043663,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6182,KS20-0061,0 - 15,,,0.60999999999999999,1.6520880043274142,30.716941846858756,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6182,KS20-0062,15 - 30,,,0.40000000000000002,1.7199672415157563,20.969840608560105,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6182,KS20-0063,30 - 50,,,0.46000000000000002,1.6599308561855239,23.273558548405997,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6182,KS20-0064,50 - 100,,,0.25,1.4049813983758492,10.705958255623973,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6183,KS20-0065,0 - 15,,,0.40999999999999998,1.5880451920923204,19.845483156539309,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6183,KS20-0066,15 - 30,,,0.56000000000000005,1.7109345601721901,29.20359982066709,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6183,KS20-0067,30 - 50,,,0.44,1.6025095426631639,21.491575978564228,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6183,KS20-0068,50 - 100,,,0.20000000000000001,1.6253566545316949,9.9081741660252121,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6184,KS20-0069,0 - 15,,,0.68000000000000005,1.4252576727334876,29.540460628143361,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6184,KS20-0070,15 - 30,,,0.48999999999999999,1.7189053479300467,25.672195152404832,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6184,KS20-0071,30 - 50,,,0.46000000000000002,1.6850062506720076,23.625135639422083,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6184,KS20-0072,50 - 100,,,0.40999999999999998,1.6995990882693783,21.239549886284767,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6185,KS20-0073,0 - 15,,,0.92000000000000004,1.4467507095020589,40.569204695572935,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6185,KS20-0074,15 - 30,,,0.96999999999999997,1.4733665348026601,43.560965621361532,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6185,KS20-0075,30 - 50,,,1.0700000000000001,1.4524893242363606,47.370905824914978,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6185,KS20-0076,50 - 100,,,0.33000000000000002,1.7037455013585114,17.136953750864453,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6186,KS20-0077,0 - 15,,,0.81000000000000005,1.6631314320122321,41.060719298663599,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6186,KS20-0078,15 - 30,,,0.56000000000000005,1.5941569467385635,27.210346092491196,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6186,KS20-0079,30 - 50,,,0.41999999999999998,1.6557382302399211,21.196098528239371,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6186,KS20-0080,50 - 100,,,0.17999999999999999,1.7425105266180003,9.5601097532369987,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6187,KS20-0081,0 - 15,,,1.3999999999999999,1.2970226225430561,55.346549349157293,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6187,KS20-0082,15 - 30,,,1.1499999999999999,1.6890947384464012,59.206148772023262,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6187,KS20-0083,30 - 50,,,0.77000000000000002,1.4569146169924441,34.193203294965869,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6187,KS20-0084,50 - 100,,,0.33000000000000002,1.7453156079698986,17.555082511204429,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6188,KS20-0085,0 - 15,,,1.3400000000000001,1.37632870879416,56.213668719021641,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6188,KS20-0086,15 - 30,,,1.0800000000000001,1.5088520184830785,49.668994285233381,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6188,KS20-0087,30 - 50,,,0.63,1.6261235887771832,31.225475601134985,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6188,KS20-0088,50 - 100,,,0.28999999999999998,1.6513088744148137,14.59624940272742,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6189,KS20-0089,0 - 15,,,0.87,1.6289111600129356,43.194814576759022,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6189,KS20-0090,15 - 30,,,1.4099999999999999,1.5880418276266464,68.248956017544856,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6189,KS20-0091,30 - 50,,,1.0900000000000001,1.4653740131860737,48.684413914883578,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6189,KS20-0092,50 - 100,,,0.46000000000000002,1.6158083584217078,22.65492583175908,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6190,KS20-0093,0 - 15,,,0.95999999999999996,1.5512051132075868,45.389502576544551,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6190,KS20-0094,15 - 30,,,1.1100000000000001,1.4933458856535065,50.524072680137955,,,,,,,,,,,,,,,,,
