field_id,year,core_id,lat,lon,shac_id,depth,soc,bd
GMP-Field-51,2020,6201,37.91433356,-98.10792509,KS20-0139,50 - 98,0.40999999999999998,1.4413156461222958
GMP-Field-51,2020,6202,37.91450479,-98.10778583,KS20-0140,0 - 15,1.22,1.3213405388109665
GMP-Field-51,2020,6202,37.91450479,-98.10778583,KS20-0141,15 - 30,0.81000000000000005,1.5465426467258476
GMP-Field-51,2020,6202,37.91450479,-98.10778583,KS20-0142,30 - 50,0.33000000000000002,1.6340622306955346
GMP-Field-51,2020,6202,37.91450479,-98.10778583,KS20-0143,50 - 96,0.28000000000000003,1.6509099835720482
GMP-Field-51,2020,6203,37.91487487,-98.10767472,KS20-0144,0 - 15,1.2,1.5028379069355478
GMP-Field-51,2020,6203,37.91487487,-98.10767472,KS20-0145,15 - 30,0.69999999999999996,1.5682407265745297
GMP-Field-51,2020,6203,37.91487487,-98.10767472,KS20-0146,30 - 50,0.40999999999999998,1.631405025399566
GMP-Field-51,2020,6203,37.91487487,-98.10767472,KS20-0147,50 - 98,0.31,1.6032679480020515
GMP-Field-51,2020,6204,37.91486554,-98.10630314,KS20-0148,0 - 15,1.1100000000000001,1.6125898503143643
GMP-Field-51,2020,6204,37.91486554,-98.10630314,KS20-0149,15 - 30,1.4399999999999999,1.4269001504150347
GMP-Field-51,2020,6204,37.91486554,-98.10630314,KS20-0150,30 - 50,0.71999999999999997,1.50842896771784
GMP-Field-51,2020,6204,37.91486554,-98.10630314,KS20-0151,50-100,0.25,1.5152006885238629
GMP-Field-51,2020,6205,37.91443903,-98.10633896,KS20-0152,0 - 15,1.3899999999999999,1.4305402572248032
GMP-Field-51,2020,6205,37.91443903,-98.10633896,KS20-0153,15 - 30,1.0600000000000001,1.3745786827946269
GMP-Field-51,2020,6205,37.91443903,-98.10633896,KS20-0154,30 - 50,0.81000000000000005,1.3677389354841734
GMP-Field-51,2020,6205,37.91443903,-98.10633896,KS20-0155,50 - 100,0.22,1.6294978491618297
GMP-Field-51,2020,6206,37.91362192,-98.10813376,KS20-0156,0 - 15,1.1899999999999999,1.6445390080438922
GMP-Field-51,2020,6206,37.91362192,-98.10813376,KS20-0157,15 - 30,0.93000000000000005,1.573197589171708
GMP-Field-51,2020,6206,37.91362192,-98.10813376,KS20-0158,30 - 50,0.58999999999999997,1.5750973382616509
GMP-Field-51,2020,6206,37.91362192,-98.10813376,KS20-0159,50 - 100,0.26000000000000001,1.5157024240199686
GMP-Field-51,2020,6207,37.91344788,-98.11008068,KS20-0160,0 - 15,0.91000000000000003,1.6470207251377182
GMP-Field-51,2020,6207,37.91344788,-98.11008068,KS20-0161,15 - 30,0.56000000000000005,1.5395784763383316
GMP-Field-51,2020,6207,37.91344788,-98.11008068,KS20-0162,30 - 50,0.5,1.6072646856358617
GMP-Field-51,2020,6207,37.91344788,-98.11008068,KS20-0163,50 - 100,0.28999999999999998,1.6322690733247713
GMP-Field-51,2020,6208,37.91362918,-98.1104331,KS20-0164,0 - 15,0.83999999999999997,1.3319905810509718
GMP-Field-51,2020,6208,37.91362918,-98.1104331,KS20-0165,15 - 30,0.69999999999999996,1.6311498638790498
GMP-Field-51,2020,6208,37.91362918,-98.1104331,KS20-0166,30 - 50,0.5,1.5436079254078623
GMP-Field-51,2020,6208,37.91362918,-98.1104331,KS20-0167,50 - 100,0.23000000000000001,1.6834011840691947
